player_id,club_id,first_name,last_name,club,position,nationality,shirt_num,best_player_counter
261,121,Romelu,Lukaku  ,Manchester United,CF,Belgium,55,0
262,121,David,de  ,Manchester United,GK,Spain,95,0
263,121,Antonio,Valencia  ,Manchester United,RB,Ecuador,30,0
264,121,Paul,Pogba  ,Manchester United,CM,France,35,0
265,121,Eric,Bailly  ,Manchester United,CB,Cote d'Ivoire,65,0
266,121,Juan,Mata  ,Manchester United,AM,Spain,2,0
267,121,Daley,Blind  ,Manchester United,LB,Netherlands,83,0
268,121,Ander,Herrera  ,Manchester United,CM,Spain,79,0
269,121,Anthony,Martial  ,Manchester United,CF,France,61,0
270,121,Marcos,Rojo  ,Manchester United,CB,Argentina,29,0
271,121,Marcus,Rashford  ,Manchester United,CF,England,72,0
272,121,Henrikh,Mkhitaryan  ,Manchester United,AM,Armenia,68,0
273,121,Matteo,Darmian  ,Manchester United,RB,Italy,60,0
274,121,Jesse,Lingard  ,Manchester United,LW,England,34,0
275,121,Phil,Jones  ,Manchester United,CB,England,89,0
276,121,Chris,Smalling  ,Manchester United,CB,England,36,0
277,121,Marouane,Fellaini  ,Manchester United,CM,Belgium,27,0
278,121,Luke,Shaw  ,Manchester United,LB,England,63,0
279,121,Michael,Carrick  ,Manchester United,DM,England,42,0
280,121,Ashley,Young  ,Manchester United,LM,England,47,0
281,121,Sergio,Romero  ,Manchester United,GK,Argentina,52,0
282,121,Axel,Tuanzebe  ,Manchester United,CB,England,70,0
283,121,Timothy,Fosu-Mensah  ,Manchester United,DM,Netherlands,60,0
284,121,Joel,Castro  ,Manchester United,GK,Portugal,68,0
285,121,Victor,Lindelof  ,Manchester United,CB,Sweden,73,0
286,123,Rob,Elliot  ,Newcastle United,GK,Ireland,39,0
287,123,Karl,Darlow  ,Newcastle United,GK,England,27,0
288,123,DeAndre,Yedlin  ,Newcastle United,RB,United States,64,0
289,123,Ciaran,Clark  ,Newcastle United,CB,Ireland,43,0
290,123,Lascelles,Lassie,Newcastle United,CB,England,74,0
291,123,Paul,Dummett  ,Newcastle United,LB,Wales,32,0
292,123,Grant,Hanley  ,Newcastle United,CB,Scotland,84,0
293,123,Jesus,Gamez  ,Newcastle United,RB,Spain,22,0
294,123,Florian,Lejeune  ,Newcastle United,CB,France,93,0
295,123,Massadio,Haidara  ,Newcastle United,LB,France,41,0
296,123,Matt,Ritchie  ,Newcastle United,RM,Scotland,38,0
297,123,Jonjo,Shelvey  ,Newcastle United,CM,England,34,0
298,123,Mohamed,Diame  ,Newcastle United,CM,Senegal,7,0
299,123,Jack,Colback  ,Newcastle United,DM,England,51,0
300,123,Christian,Atsu  ,Newcastle United,RW,Ghana,45,0
301,123,Siem,de  ,Newcastle United,AM,Netherlands,47,0
302,123,Rolando,Aarons  ,Newcastle United,LW,England,12,0
303,123,Dwight,Gayle  ,Newcastle United,CF,England,5,0
304,123,Ayoze,Perez  ,Newcastle United,SS,Spain,21,0
305,123,Aleksandar,Mitrovic  ,Newcastle United,CF,Serbia,22,0
306,123,Daryl,Murphy  ,Newcastle United,CF,Ireland,52,0
307,129,Fraser,Forster  ,Southampton,GK,England,25,0
308,129,Nathan,Redmond  ,Southampton,RW,England,98,0
309,129,Ryan,Bertrand  ,Southampton,LB,England,67,0
310,129,DuÅ¡an,TadiÄ‡  ,Southampton,LW,Portugal,71,0
311,129,Cedric,Soares  ,Southampton,RB,Portugal,31,0
312,129,James,Ward-Prowse  ,Southampton,CM,England,66,0
313,129,Oriol,Romeu  ,Southampton,DM,Spain,6,0
314,129,Maya,Yoshida  ,Southampton,CB,Japan,37,0
315,129,Steven,Davis  ,Southampton,CM,Northern Ireland,59,0
316,129,Virgil,van  ,Southampton,CB,Netherlands,60,0
317,129,Charlie,Austin  ,Southampton,CF,England,75,0
318,129,Jack,Stephens  ,Southampton,CB,England,1,0
319,129,Shane,Long  ,Southampton,CF,Ireland,67,0
320,129,Sofiane,Boufal  ,Southampton,AM,Morocco,78,0
321,129,Jordy,Clasie  ,Southampton,DM,Netherlands,73,0
322,129,Pierre-Emile,Hojbjerg  ,Southampton,CM,Denmark,3,0
323,129,Manolo,Gabbiadini  ,Southampton,CF,Italy,40,0
324,129,Sam,McQueen  ,Southampton,LM,England,34,0
325,129,Matt,Targett  ,Southampton,LB,England,3,0
326,129,Josh,Sims  ,Southampton,RW,England,12,0
327,129,Jeremy,Pied  ,Southampton,RM,France,31,0
328,129,Jason,McCarthy  ,Southampton,CB,England,38,0
329,129,Jan,Bednarek  ,Southampton,CB,Poland,81,0
330,130,Joe,Allen  ,Stoke City,CM,Wales,4,0
331,130,Marko,ArnautoviÄ‡  ,Stoke City,LW,England,19,0
332,130,Lee,Grant  ,Stoke City,GK,England,48,0
333,130,Erik,Pieters  ,Stoke City,LB,Netherlands,48,0
334,130,Steven,Fletcher  ,Stoke City,CF,Scotland,89,0
335,130,Ryan,Shawcross  ,Stoke City,CB,England,48,0
336,130,Xherdan,Shaqiri  ,Stoke City,RW,Switzerland,45,0
337,130,Peter,Crouch  ,Stoke City,CF,England,81,0
338,130,Glenn,Whelan  ,Stoke City,DM,Ireland,62,0
339,130,Charlie,Adam  ,Stoke City,CM,Scotland,63,0
340,130,Geoff,Cameron  ,Stoke City,CB,United States,7,0
341,130,Glen,Johnson  ,Stoke City,RB,England,77,0
342,130,Mame,Biram  ,Stoke City,CF,Senegal,36,0
343,130,Ramadan,Sobhi  ,Stoke City,LW,Egypt,47,0
344,130,Marc,Muniesa  ,Stoke City,CB,Spain,27,0
345,130,Bojan,KrkiÄ‡  ,Stoke City,SS,Spain,47,0
346,130,Phil,Bardsley  ,Stoke City,RB,Scotland,1,0
347,130,Saido,Berahino  ,Stoke City,CF,England,49,0
348,130,Giannelli,Imbula  ,Stoke City,DM,France,36,0
349,130,Jack,Butland  ,Stoke City,GK,England,55,0
350,130,Ibrahim,Afellay  ,Stoke City,LM,Netherlands,74,0
351,130,Josh,Tymon  ,Stoke City,LB,England,27,0
352,132,Gylfi,Sigurdsson  ,Swansea City,AM,Iceland,90,0
353,132,Fernando,Llorente  ,Swansea City,CF,Spain,54,0
354,132,Åukasz,FabiaÅ„ski  ,Swansea City,GK,Poland,41,0
355,132,Leroy,Fer  ,Swansea City,CM,Netherlands,12,0
356,132,Alfie,Mawson  ,Swansea City,CB,England,19,0
357,132,Kyle,Naughton  ,Swansea City,RB,England,17,0
358,132,Wayne,Routledge  ,Swansea City,LW,England,88,0
359,132,Federico,Fernandez  ,Swansea City,CB,Argentina,92,0
360,132,Martin,Olsson  ,Swansea City,LB,Sweden,41,0
361,132,Tom,Carroll  ,Swansea City,CM,England,20,0
362,132,Ki,Sung-yueng  ,Swansea City,DM,South Korea,14,0
363,132,Jordan,Ayew  ,Swansea City,CF,Ghana,7,0
364,132,Modou,Barrow  ,Swansea City,RW,The Gambia,16,0
365,132,Leon,Britton  ,Swansea City,CM,England,65,0
366,132,Stephen,Kingsley  ,Swansea City,LB,Scotland,79,0
367,132,Ã€ngel,Rangel  ,Swansea City,RB,Spain,9,0
368,132,Luciano,Narsingh  ,Swansea City,RW,Netherlands,68,0
369,132,Jay,Fulton  ,Swansea City,CM,Scotland,35,0
370,132,Jefferson,Montero  ,Swansea City,LW,Ecuador,12,0
371,132,Mike,van  ,Swansea City,CB,Netherlands,10,0
372,132,Nathan,Dyer  ,Swansea City,RW,England,66,0
373,132,Oliver,McBurnie  ,Swansea City,CF,Scotland,86,0
374,132,Kristoffer,Nordfeldt  ,Swansea City,GK,Sweden,32,0
375,132,Roque,Mesa  ,Swansea City,CM,Spain,27,0
376,132,Tammy,Abraham  ,Swansea City,CF,England,21,0
377,133,Dele,Alli  ,Tottenham Hotspur,CM,England,77,0
378,133,Harry,Kane  ,Tottenham Hotspur,CF,England,62,0
379,133,Christian,Eriksen  ,Tottenham Hotspur,AM,Denmark,24,0
380,133,Son,Heung-min  ,Tottenham Hotspur,LW,South Korea,33,0
381,133,Hugo,Lloris  ,Tottenham Hotspur,GK,France,89,0
